name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency
Corsair Dominator Platinum RGB 64 GB,329.9,"5,6800","2,32",5.155,Black,11.765,40
Corsair Vengeance LPX 16 GB,47.99,"4,3200","2,8",2.999,White,10,16
G.Skill Trident Z5 RGB 48 GB,399.99,"5,8400","2,24",8.333,Black,9.524,40
Corsair Vengeance RGB 32 GB,129.99,"5,6000","2,16",4.062,White / Silver,10,30
G.Skill Ripjaws S5 64 GB,199.99,"5,6000","2,32",3.125,Black,10,30
Corsair Vengeance LPX 64 GB,144.99,"4,3600","2,32",2.265,Black,10,18
Corsair Vengeance 64 GB,212.99,"5,6000","2,32",3.328,Black / Gray,10,30
Corsair Vengeance RGB RT 256 GB,1370.47,"4,3600","8,32",5.353,Black,10,18
G.Skill Aegis 16 GB,42.99,"4,3200","2,8",2.687,Red / Black,10,16
Silicon Power SP032GBLVU560FD2AD 32 GB,75.97,"5,5600","2,16",2.374,Black,16.429,46
Corsair Vengeance RGB 32 GB,139.99,"5,7200","2,16",4.375,Black,9.444,34
Corsair Vengeance RGB 64 GB,219.99,"5,6400","2,32",3.437,Black / Gray,10,32
Timetec PINNACLE Konduit 16 GB,39.99,"4,3600","2,8",2.499,White,10,18
Corsair Dominator Titanium 96 GB,449.99,"5,6600","2,48",4.687,Black,9.697,32
G.Skill Trident Z RGB 32 GB,81.99,"4,3600","2,16",2.562,Black,10,18
TEAMGROUP T-Create Expert 64 GB,179.99,"5,6000","2,32",2.812,Black,11.333,34
Corsair Vengeance RGB Pro 32 GB,124.99,"4,3200","4,8",3.906,Black,10,16
G.Skill Trident Z5 RGB 64 GB,259.99,"5,6800","2,32",4.062,Black,10,34
Corsair Vengeance 96 GB,375.62,"5,6400","2,48",3.913,Black,10,32
Kingston FURY Beast RGB 16 GB,54.99,"4,3200","2,8",3.437,Black,10,16
G.Skill Ripjaws S5 64 GB,189.99,"5,5600","2,32",2.969,Black,10,28
Corsair Dominator Titanium 64 GB,319.99,"5,6600","2,32",5,Black,9.697,32
G.Skill Trident Z Royal 256 GB,,"4,3200","8,32",,Gold,8.75,14
G.Skill Trident Z5 RGB 48 GB,259.99,"5,8000","2,24",5.416,Black,10,40
TEAMGROUP T-Force Vulcan 32 GB,84.99,"5,5200","2,16",2.656,Black,15.385,40
Corsair Vengeance RGB 32 GB,109.99,"5,5600","2,16",3.437,Black / Gray,14.286,40
TEAMGROUP T-Force Delta RGB 32 GB,96.99,"5,5200","2,16",3.031,White,15.385,40
G.Skill Trident Z5 RGB 32 GB,117.99,"5,6000","2,16",3.687,White / Black,10,30
G.Skill Ripjaws V 16 GB,40.99,"4,3600","2,8",2.562,Black,10,18
Corsair Vengeance LPX 16 GB,44.99,"4,2666","2,8",2.812,Black / Yellow,12.003,16
Patriot Viper Venom 32 GB,92.99,"5,6000","2,16",2.906,Black / White,12,36
TEAMGROUP T-Create Classic 32 GB,87.99,"5,6000","2,16",2.75,Black,16,48
TEAMGROUP Elite 16 GB,45.99,"5,4800","2,8",2.874,Black,16.667,40
Silicon Power SP016GLLTU160N22 16 GB,19.89,"3,1600","2,8",1.243,Green,13.75,11
G.Skill Ripjaws S5 32 GB,109.99,"5,6400","2,16",3.437,Black,10,32
Corsair Dominator Titanium 32 GB,184.99,"5,6000","2,16",5.781,White,10,30
Kingston FURY Beast 16 GB,84.11,"5,5600","2,8",5.257,Black / Silver,12.857,36
OLOy MD4U1636181CHKDA 32 GB,58.24,"4,3600","2,16",1.82,Black,10,18
TEAMGROUP T-Create Classic 32 GB,83.99,"5,5600","2,16",2.625,Black,16.429,46
G.Skill Trident Z RGB 64 GB,137.99,"4,3600","2,32",2.156,Black,10,18
TEAMGROUP T-Force Delta RGB 64 GB,194.99,"5,6000","2,32",3.047,White / Silver,12.667,38
G.Skill Trident Z RGB 16 GB,55.99,"4,3200","2,8",3.499,Black,10,16
G.Skill Ripjaws V 32 GB,68.99,"4,3600","2,16",2.156,Black,10,18
Corsair Vengeance LPX 32 GB,1139,"4,3866","4,8",35.594,,9.312,18
TEAMGROUP T-Create Expert 32 GB,91.99,"5,6000","2,16",2.875,Black,12.667,38
Corsair Vengeance RGB 64 GB,229.9,"5,6000","2,32",3.592,White / Silver,10,30
ADATA XPG Lancer Blade RGB 32 GB,182.39,"5,6000","2,16",5.7,Black,10,30
TEAMGROUP T-Create Expert 32 GB,102.99,"5,6000","2,16",3.218,White,10,30
G.Skill Ripjaws S5 32 GB,109.99,"5,6000","2,16",3.437,White,10,30
Kingston FURY Beast 16 GB,87.62,"5,6000","2,8",5.476,Black / Silver,12,36
G.Skill Trident Z5 RGB 64 GB,214.99,"5,6400","2,32",3.359,White / Black,10,32
ADATA XPG SPECTRIX D50 16 GB,49.99,"4,3200","2,8",3.124,White,10,16
Lexar THOR OC 32 GB,103.24,"5,6000","2,16",3.226,Black / Gold,10.667,32
OLOy MD4U083216BJDA 16 GB,39.99,"4,3200","2,8",2.499,Black,10,16
Corsair Vengeance RGB 32 GB,105.99,"5,6000","2,16",3.312,White / Silver,12,36
Crucial CT8G48C40U5 8 GB,31.75,"5,4800","1,8",3.969,Black,16.667,40
Crucial CT8G4DFRA32A 8 GB,19.98,"4,3200","1,8",2.498,Green,13.75,22
Corsair Vengeance 64 GB,189.99,"5,5600","2,32",2.969,Black,14.286,40
Corsair Vengeance LPX 16 GB,44.99,"4,3000","2,8",2.812,Black / Yellow,10,15
Corsair Dominator Platinum RGB 64 GB,369.99,"5,6600","4,16",5.781,Black,9.697,32
TEAMGROUP T-Force Delta RGB 16 GB,49.99,"4,3200","2,8",3.124,White,10,16
Corsair Dominator Titanium 96 GB,449.99,"5,6600","2,48",4.687,White,9.697,32
Timetec PINNACLE Konduit 32 GB,61.99,"4,3600","2,16",1.937,White,10,18
