name,price,type,efficiency,wattage,modular,color
Thermaltake Toughpower GF3 TT Premium,254.99,ATX,gold,1650,Full,Black
Raidmax Cobra,49.99,ATX,bronze,700,false,
EVGA 750 GQ,126.36,ATX,gold,750,Semi,
SeaSonic FOCUS Plus Platinum,179.99,ATX,platinum,850,Full,
SeaSonic FOCUS GX,206.09,ATX,gold,1000,Full,Black
Gigabyte P850GM,,ATX,gold,850,Full,Black
Silverstone SX500-G,,SFX,gold,500,Full,
Deepcool PX-G,104.99,ATX,gold,850,Full,Black
EVGA SuperNOVA 1300 GT,209.99,ATX,gold,1300,Full,Black
Cooler Master V SFX Platinum,248.99,SFX,platinum,1100,Full,Black
Phanteks AMP v2,,ATX,gold,1000,Full,Black
Enermax REVOLUTION D.F. 2,122.99,ATX,gold,1050,Full,Black
EVGA SuperNOVA 850 GM,159.99,SFX,gold,850,Full,Black
Thermaltake Toughpower GF1 PE,136.16,ATX,gold,750,Full,Black
SeaSonic VERTEX GX-1200,253.08,ATX,gold,1200,Full,Black / Silver
Vetroo GV1000,129.99,ATX,gold,1000,Full,White
Logisys PS480D2,,ATX,,480,false,
Enermax REVOLUTION D.F. 2,89.99,ATX,gold,850,Full,Black
SeaSonic S12III,65.44,ATX,bronze,500,false,Black
Thermaltake Smart BX1 650,64.98,ATX,bronze,650,false,Black
Corsair HX1500i (2022),371.31,ATX,platinum,1500,Full,Black
Thermaltake Smart BX1,104.59,ATX,bronze,750,false,Black
Asus TUF Gaming 750G,,ATX,gold,750,Full,Black
Asus ROG LOKI,,SFX,platinum,1000,Full,Silver / Black
"FSP Group Hydro PTM X PRO,Gen5",115.67,ATX,platinum,850,Full,Black
Asus ROG-STRIX-850G,164.99,ATX,gold,850,Full,Black
EVGA SuperNOVA 650 GM,,SFX,gold,650,Full,Black
Corsair SF600,,SFX,platinum,600,Full,Black
Corsair RM750x (2018),173.99,ATX,gold,750,Full,Black
EVGA SuperNOVA 750 G2,,ATX,gold,750,Full,
ADATA XPG CORE Reactor 650,89.99,ATX,gold,650,Full,Black
Super Flower Leadex Titanium,699.99,ATX,titanium,1600,Full,Black
be quiet! SFX L Power,130.53,SFX,gold,600,Full,
PowerSpec PS 750BSM,69.98,ATX,bronze,750,Semi,Black
Asus ROG THOR 1200P,,ATX,platinum,1200,Full,Black
Deepcool PQ1000M,145.98,ATX,gold,1000,Full,Black
Cooler Master V550 SFX GOLD,,SFX,gold,550,Full,Black
ARESGAME AGV,,ATX,bronze,500,false,Black
EVGA SuperNOVA 650 G+,95.12,ATX,gold,650,Full,Black
Thermaltake Toughpower GF A3 - TT Premium Edition,129.99,ATX,gold,1050,Full,Black
Corsair RM850x (2018),187,ATX,gold,850,Full,Black
Gigabyte UD-GM PG5,124.99,ATX,gold,850,Full,White
Super Flower Leadex III Gold,104.99,ATX,gold,850,Full,Black
ADATA XPG PYLON,162,ATX,bronze,650,false,Black
EVGA 650BP,74.99,ATX,bronze,650,false,Black
"FSP Group Hydro PTM X PRO,Gen5",209.99,ATX,platinum,1000,Full,Black
Asus ROG LOKI,218.26,SFX,platinum,850,Full,Black / Silver
Thermaltake Toughpower GF1 (2024),89.99,ATX,gold,850,Full,Black
be quiet! System Power 10,135.49,ATX,bronze,550,false,Black
Cooler Master MWE Bronze V2,,ATX,bronze,750,false,Black
EVGA 550 BP,64.98,ATX,bronze,550,false,Black
be quiet! Straight Power 11 750W,,ATX,gold,750,Full,
KOLINK Classic Power,,ATX,bronze,700,false,Black / Red
Asus ROG Strix,139.99,ATX,gold,750,Full,Black / Red
be quiet! System Power 10,190.19,ATX,gold,850,false,Black
