name,price,socket,form_factor,max_memory,memory_slots,color
Asus ROG STRIX Z790-H GAMING WIFI,269.99,LGA1700,ATX,192,4,Black
Asus ROG STRIX B450-F GAMING II,297.95,AM4,ATX,128,4,Black
MSI Z790 GAMING PRO WIFI,209.99,LGA1700,ATX,192,4,Black
MSI MAG B560M MORTAR WIFI,180.93,LGA1200,Micro ATX,128,4,Black / White
ASRock B760M-HDV/M.2,97.98,LGA1700,Micro ATX,96,2,White / Black
Asus ROG MAXIMUS Z790 FORMULA,749.99,LGA1700,ATX,192,4,Silver / Black
Gigabyte B650M K,119.99,AM5,Micro ATX,192,4,Brown / Silver
MSI MEG X570 UNIFY,209.99,AM4,ATX,128,4,Black
ASRock B650M-HDV/M.2,139.99,AM5,Micro ATX,96,2,Silver / Black
MSI MPG Z690 EDGE WIFI DDR4,209.99,LGA1700,ATX,128,4,Black / Gray
Asus PRIME A320M-K,84.79,AM4,Micro ATX,32,2,Black / White
Asus PRIME X670E-PRO WIFI,319.99,AM5,ATX,192,4,Silver / Black
ASRock Z690 Phantom Gaming 4,109.99,LGA1700,ATX,128,4,Black / Silver
Asus TUF GAMING Z790-PRO WIFI,279.99,LGA1700,ATX,192,4,Black
ASRock A620I LIGHTNING WIFI,139.99,AM5,Mini ITX,96,2,Black
Asus PRIME B550-PLUS,129.99,AM4,ATX,128,4,Black / White
ASRock B550M-HDV,79.98,AM4,Micro ATX,64,2,Black
ASRock B660M-ITX/ac,119.99,LGA1700,Mini ITX,64,2,Silver / Black
MSI PRO Z690-A WIFI DDR4,199.99,LGA1700,ATX,128,4,Black / Silver
Asus ROG STRIX B760-A GAMING WIFI,224.99,LGA1700,ATX,192,4,Silver / Black
ASRock B760M-H/M.2,89.99,LGA1700,Micro ATX,96,2,Silver / Black
MSI MPG Z790 EDGE WIFI,319.99,LGA1700,ATX,192,4,Silver / Black
Gigabyte B550 UD AC,124.99,AM4,ATX,128,4,Brown / Black
Asus ROG STRIX B650E-E GAMING WIFI,336.99,AM5,ATX,192,4,Black
Asus ROG MAXIMUS Z790 HERO,529.99,LGA1700,ATX,192,4,Black
ASRock B450M-HDV R4.0,79.98,AM4,Micro ATX,32,2,Black / White
Asus PRIME A620-PLUS WIFI,139.99,AM5,ATX,192,4,Silver / Black
ASRock B550M PG RIPTIDE,111.98,AM4,Micro ATX,128,4,
ASRock B760M Steel Legend WiFi,159.99,LGA1700,Micro ATX,192,4,Silver / Black
