name,price,socket,form_factor,max_memory,memory_slots,color
Asus ROG STRIX B660-A GAMING WIFI,,LGA1700,ATX,128,4,Silver / Black
MSI Z590 PRO WIFI,,LGA1200,ATX,128,4,Black
MSI X370 GAMING PRO CARBON,,AM4,ATX,64,4,Black / Silver
Gigabyte B550 AORUS ELITE,234.99,AM4,ATX,128,4,Black / Silver
Asus ROG Crosshair VIII Hero,481.82,AM4,ATX,128,4,Black
ASRock B650E TAICHI,369.99,AM5,EATX,192,4,Black
Asus PRIME B350M-A,,AM4,Micro ATX,64,4,Black / Silver
Asus Pro H510M-CT/CSM,89.99,LGA1200,Micro ATX,64,2,Green
Gigabyte B760 GAMING X AX DDR4,213.7,LGA1700,ATX,128,4,Black
ASRock X370 Pro4,112.8,AM4,ATX,64,4,Black / White
Gigabyte B660I AORUS Pro DDR4,300.99,LGA1700,Mini ITX,64,2,Black
Asus ROG Strix X299-E Gaming II,454.72,LGA2066,ATX,256,8,Black
ASRock Z790M PG LIGHTNING/D4,174.99,LGA1700,Micro ATX,128,4,Black
Asus PRIME A620M-A-CSM,129.99,AM5,Micro ATX,192,4,Silver / Black
Gigabyte X570S AORUS ELITE,,AM4,ATX,128,4,Black
Asus TUF GAMING B460M-PLUS (WI-FI),,LGA1200,Micro ATX,128,4,Black / Gold
Asus P8Z77-V PRO,,LGA1155,ATX,32,4,Black / Blue
Gigabyte GA-A320M-S2H V2,,AM4,Micro ATX,32,2,Black
Asus PRIME Z690-P,299.5,LGA1700,ATX,192,4,Silver / Black
Asus Prime Z370-P,,LGA1151,ATX,64,4,Black / Silver
Asus Prime B760M-K,,LGA1700,Micro ATX,96,2,Silver / Black
Asus B85M-G,,LGA1150,Micro ATX,32,4,
ASRock A520M Phantom Gaming 4,96.99,AM4,Micro ATX,128,4,Black
MSI Z270 GAMING PRO CARBON,,LGA1151,ATX,64,4,Black / Silver
ASRock Z690 Steel Legend,,LGA1700,ATX,128,4,Silver / Black
ASRock Z690M PG RIPTIDE/D5,,LGA1700,Micro ATX,192,4,Black / Silver
Gigabyte X570 AORUS PRO WIFI,399.99,AM4,ATX,128,4,Black / Silver
Asus Z10PE-D16 WS,,2 x LGA2011-3,SSI EEB,1024,16,Black / Gold
Asus ROG MAXIMUS X HERO (WI-FI AC),,LGA1151,ATX,64,4,Black / Silver
ASRock B360M Pro4,,LGA1151,Micro ATX,64,4,Black / Silver
Asus PRIME B650M-A AX,199.99,AM5,Micro ATX,128,4,Black / Silver
MSI PRO B660M-A DDR4,289,LGA1700,Micro ATX,128,4,Black / Silver
MSI PRO B760M-E DDR4,,LGA1700,Micro ATX,64,2,Black
MSI MEG Z690I UNIFY,,LGA1700,Mini ITX,96,2,Black / Silver
Gigabyte Z390 AORUS MASTER,439.99,LGA1151,ATX,128,4,Black / Silver
ASRock Z390 Pro4,,LGA1151,ATX,128,4,Black / Silver
Asus PRIME H310M-A R2.0,,LGA1151,Micro ATX,32,2,Black
Asus TUF GAMING Z790-PLUS D4,315.24,LGA1700,ATX,128,4,Black
Gigabyte X570 AORUS MASTER,499,AM4,ATX,128,4,Black / Silver
Asus ROG Strix TRX40-E Gaming,,sTRX4,ATX,256,8,Black
Gigabyte H310M S2H,,LGA1151,Micro ATX,32,2,Silver / Brown
Gigabyte B450M AORUS ELITE,,AM4,Micro ATX,128,4,Black / Orange
Gigabyte Z370P D3,,LGA1151,ATX,64,4,Black / Silver
Gigabyte Z390 I AORUS PRO WIFI,,LGA1151,Mini ITX,64,2,Black / Silver
Asus PRIME X370-PRO,,AM4,ATX,64,4,Black / White
Asus ROG MAXIMUS X FORMULA,999,LGA1151,ATX,64,4,Black
MSI MAG B550M MORTAR,,AM4,Micro ATX,128,4,Black / Silver
Asus PRIME H510M-A/CSM,167.5,LGA1200,Micro ATX,64,2,Black / Silver
MSI MAG Z590 TOMAHAWK WIFI,,LGA1200,ATX,128,4,Black
Asus ROG Crosshair VIII Formula,499,AM4,ATX,128,4,Black
Gigabyte B560M DS3H V2,,LGA1200,Micro ATX,128,4,Black
Gigabyte X570S AERO G,,AM4,ATX,128,4,Black / White
Gigabyte Z390 AORUS ULTRA,399.99,LGA1151,ATX,128,4,Black / Silver
ASRock Z790 LiveMixer,259.99,LGA1700,ATX,192,4,Purple / Black
MSI PRO B660-A DDR4,,LGA1700,ATX,128,4,Black / Silver
MSI MPG B760I EDGE WIFI DDR4,,LGA1700,Mini ITX,64,2,Silver / Black
MSI H510M PRO,,LGA1200,Micro ATX,64,2,Beige
Asus TUF GAMING H770-PRO WIFI,,LGA1700,ATX,192,4,Black
Asus ROG STRIX B760-G GAMING WIFI D4,,LGA1700,Micro ATX,128,4,Silver / Black
Gigabyte B360M DS3H,,LGA1151,Micro ATX,64,4,Silver / Black
MSI B250M BAZOOKA,,LGA1151,Micro ATX,64,4,Black / Gray
Asus TUF B365M-PLUS GAMING,,LGA1151,Micro ATX,64,4,Black / Yellow
MSI MEG Z590 UNIFY,278.18,LGA1200,ATX,128,4,Black
Gigabyte Z690 UD AX DDR4,,LGA1700,ATX,128,4,Black
Gigabyte H510M S2H V3,,LGA1200,Micro ATX,64,2,Gray / Black
ASRock H510M-HDV/M.2,129.99,LGA1200,Micro ATX,64,2,Silver / Black
MSI PRO H610M-G,119.99,LGA1700,Micro ATX,96,2,Black
Asus TUF GAMING A520M-PLUS,,AM4,Micro ATX,128,4,Black
Gigabyte H510M H V2,,LGA1200,Micro ATX,64,2,Gray / Brown
ASRock AB350 Pro4,,AM4,ATX,64,4,Black / White
ASRock X399 Taichi,599.99,sTR4,ATX,128,8,Black / Silver
Asus ROG MAXIMUS Z790 APEX,,LGA1700,ATX,96,2,Silver / Black
ASRock B660M Pro RS/ax,,LGA1700,Micro ATX,128,4,Silver / Black
Asus ROG STRIX Z690-A GAMING WIFI,,LGA1700,ATX,192,4,Black / Silver
ASRock B550 PG Riptide,200.25,AM4,ATX,128,4,Black / Silver
Gigabyte Z590 AORUS MASTER,309,LGA1200,ATX,128,4,Black
Asus PRIME Z690M-PLUS D4,249,LGA1700,Micro ATX,128,4,Silver / Black
Asus ROG MAXIMUS XII HERO (WI-FI),525.59,LGA1200,ATX,128,4,Black
Asus X99-M WS,,LGA2011-3,Micro ATX,64,4,Black / Silver
MSI Z590 PLUS,,LGA1200,ATX,128,4,Black / Silver
Asus MAXIMUS IX HERO,,LGA1151,ATX,64,4,Black / Silver
Gigabyte B760 AORUS ELITE AX DDR4,,LGA1700,ATX,128,4,Black / Silver
Biostar B550MH,134,AM4,Micro ATX,64,2,Black
NZXT N5 Z690,238.58,LGA1700,ATX,128,4,Black
Asus P5QL-VM DO/CSM,,LGA775,Micro ATX,16,4,Black / Yellow
Asus ROG STRIX B660-G GAMING WIFI,,LGA1700,Micro ATX,128,4,Black
ASRock Z370 Pro4,,LGA1151,ATX,64,4,Black / Silver
ASRock B660M-C,,LGA1700,Micro ATX,128,4,Black
MSI B360 GAMING PLUS,,LGA1151,ATX,64,4,Black / Red
Asus ROG STRIX Z390-I GAMING,,LGA1151,Mini ITX,64,2,Black / Silver
Asus TUF GAMING A620M-PLUS,,AM5,Micro ATX,192,4,Black / Orange
Gigabyte B760M AORUS ELITE X AX,,LGA1700,Micro ATX,192,4,White / Silver
Gigabyte B760 DS3H,,LGA1700,ATX,192,4,Gray / Black
Asus PRIME A620M-K,,AM5,Micro ATX,96,2,Black / Silver
Gigabyte Z690 AORUS PRO,420.04,LGA1700,ATX,192,4,Black
MSI PRO H610M-E,,LGA1700,Micro ATX,96,2,Black
MSI B460M-A PRO,,LGA1200,Micro ATX,64,2,Black
Asus MAXIMUS VII HERO,,LGA1150,ATX,32,4,Black / Red
ASRock Fatal1ty X370 Gaming K4,99.99,AM4,ATX,64,4,Black / Red
Asus TUF GAMING B550M-PLUS (WI-FI),283.58,AM4,Micro ATX,128,4,Black
Gigabyte GA-H110M-A,,LGA1151,Micro ATX,32,2,Black
Gigabyte B660M AORUS Pro AX DDR4,,LGA1700,Micro ATX,128,4,Black
ASRock B460M Pro4,,LGA1200,Micro ATX,128,4,Black / Silver
Asus TUF B450M-PRO GAMING,,AM4,Micro ATX,64,4,Black
Supermicro X11SCL-LN4F,313.99,LGA1151,Micro ATX,128,4,Green
Gigabyte B650M AORUS PRO AX,,AM5,Micro ATX,192,4,Black
MSI B450M BAZOOKA,,AM4,Micro ATX,64,4,Black / Silver
MSI MAG B760M MORTAR MAX WIFI DDR4,,LGA1700,Micro ATX,128,4,Silver / Black
Asus STRIX Z270F,,LGA1151,ATX,64,4,Black / Silver
Asus MAXIMUS Z690 HERO EVA,588.83,LGA1700,ATX,128,4,Purple / Green
Gigabyte B550 VISION D,,AM4,ATX,128,4,White / Black
MSI MAG B560 TOMAHAWK WIFI,,LGA1200,ATX,128,4,Black
ASRock X570 PG Velocita,,AM4,ATX,128,4,Black / Silver
Asus ProArt Z690-CREATOR WIFI,689,LGA1700,ATX,192,4,Black / Copper
ASRock B550 Extreme4,184.99,AM4,ATX,128,4,Blue / Black
MSI PRO B660M-G DDR4,,LGA1700,Micro ATX,64,2,Black / Silver
ASRock B550M/ac,,AM4,Micro ATX,128,4,Black / White
Gigabyte GA-H61M-S1,,LGA1155,Micro ATX,16,2,Blue / White
Asus TUF GAMING B760M-PLUS,,LGA1700,Micro ATX,192,4,Black / Orange
ASRock Z790 PG Lightning/D4,192.99,LGA1700,ATX,128,4,Black
Asus TUF Z370 Plus Gaming,285.16,LGA1151,ATX,64,4,Black / Yellow
Asus PRIME H310M-K R2.0,,LGA1151,Micro ATX,32,2,Black
Asus PRIME Z270-P,,LGA1151,ATX,64,4,Black / Silver
Gigabyte B550 AORUS PRO V2,281.49,AM4,ATX,128,4,Black
MSI H81M-P33,,LGA1150,Micro ATX,16,2,Black / Blue
ASRock B450M-HDV,88.88,AM4,Micro ATX,32,2,Black / Silver
MSI B450 Gaming Plus,,AM4,ATX,64,4,Red / Black
MSI MAG B550M BAZOOKA,,AM4,Micro ATX,128,4,Black / Silver
ASRock H610M-H2/M.2 D5,,LGA1700,Micro ATX,96,2,Black / Silver
Gigabyte X570S GAMING X,,AM4,ATX,128,4,Black / Silver
MSI B450-A PRO,,AM4,ATX,64,4,Brown / Black
Asus ROG Crosshair VIII Impact,513.02,AM4,Mini DTX,64,2,Black
MSI MPG Z390 GAMING PRO CARBON AC,,LGA1151,ATX,128,4,Black / Silver
Gigabyte B660 DS3H AC DDR4,,LGA1700,ATX,128,4,Black
Supermicro X10SL7-F,224.4,LGA1150,Micro ATX,32,4,Black / Green
MSI B350M PRO-VDH,,AM4,Micro ATX,64,4,Brown / Black
ASRock TRX40 Creator,,sTRX4,ATX,256,8,Black / Silver
MSI PRO B660M-E DDR4,,LGA1700,Micro ATX,64,2,Black / Silver
MSI Z97 PC MATE,,LGA1150,ATX,32,4,Black / Blue
MSI Z97S SLI Krait Edition,,LGA1150,ATX,32,4,Black / White
Asus H110M-R,,LGA1151,Micro ATX,32,2,Black
Gigabyte Z790 AORUS ELITE AX-W,369.99,LGA1700,ATX,192,4,Silver / Black
Asus TUF GAMING Z490-PLUS (WI-FI),,LGA1200,ATX,128,4,Black
ASRock A520M Pro4,99.35,AM4,Micro ATX,128,4,Black / Silver
Gigabyte X570 AORUS ULTRA,,AM4,ATX,128,4,Black / Silver
Asus H61M-K,,LGA1155,Micro ATX,16,2,Black / Blue
MSI MPG Z490 GAMING CARBON WIFI,349,LGA1200,ATX,128,4,Black / Silver
Asus TUF X470-PLUS GAMING,,AM4,ATX,64,4,Black
Asus TUF GAMING X570-PRO (WI-FI),,AM4,ATX,128,4,Black / Gold
Gigabyte B550 AORUS MASTER,,AM4,ATX,128,4,Black / Silver
Gigabyte Z690 AORUS ELITE DDR4,295.62,LGA1700,ATX,128,4,Black / Silver
Asus ROG STRIX B660-F GAMING WIFI,,LGA1700,ATX,192,4,Black
Asus ROG STRIX B360-F GAMING,298.52,LGA1151,ATX,64,4,Black
Gigabyte B450M GAMING,,AM4,Micro ATX,32,2,Red / Black
Asus Pro B550M-C/CSM,129.99,AM4,Micro ATX,128,4,Green
ASRock H670 Steel Legend,181.2,LGA1700,ATX,128,4,Silver / Gray
Asus ROG STRIX B560-F GAMING WIFI,,LGA1200,ATX,128,4,Black / Silver
ASRock Fatal1ty B450 GAMING K4,,AM4,ATX,64,4,Black / Silver
Gigabyte B550M AORUS PRO,,AM4,Micro ATX,128,4,Black / Silver
ASRock Z390 Phantom Gaming 4,,LGA1151,ATX,128,4,Black / Silver
Gigabyte Z490 VISION G,349.99,LGA1200,ATX,128,4,White / Black
MSI B350 GAMING PLUS,,AM4,ATX,64,4,Black / Red
ASRock B660M Phantom Gaming 4,,LGA1700,Micro ATX,128,4,Silver / Black
Asus TUF GAMING Z690-PLUS D4,308.92,LGA1700,ATX,128,4,Black / Silver
Gigabyte GA-F2A78M-HD2,,FM2+,Micro ATX,64,2,Black
Gigabyte Z590 VISION G,307.89,LGA1200,ATX,128,4,Black / White
MSI PRO-B660M-A-CEC-WIFI-DDR4,,LGA1700,Micro ATX,128,4,Black / Silver
Asus X99-A II,,LGA2011-3,ATX,128,8,Black / White
ASRock H610M-HDV/M.2,,LGA1700,Micro ATX,64,2,Gray / Black
Asus M5A97 R2.0,,AM3+,ATX,32,4,Black / Blue
Gigabyte Z690 AORUS ULTRA,404.9,LGA1700,ATX,192,4,Black
Gigabyte GA-Z270P-D3,,LGA1151,ATX,64,4,Black / Gold
Gigabyte GA-970A-DS3P,,AM3+,ATX,32,4,Black / Gray
MSI Z790 GAMING WIFI,,LGA1700,ATX,192,4,Black
Asus TUF GAMING B660M-PLUS D4,215.74,LGA1700,Micro ATX,128,4,Orange / Black
Asus ROG STRIX B560-G GAMING WIFI,,LGA1200,Micro ATX,128,4,Black / Silver
Biostar H310MHP,,LGA1151,Micro ATX,32,2,Black
Gigabyte Z390 AORUS PRO,370.25,LGA1151,ATX,128,4,Black / Silver
Gigabyte B660M AORUS ELITE AX DDR4,,LGA1700,Micro ATX,128,4,Black
Asus EX-A320M-GAMING,152,AM4,Micro ATX,64,4,Red / Black
ASRock Z690 Taichi Razer Edition,249.99,LGA1700,ATX,192,4,Black
EVGA Z790 DARK K|NGP|N,,LGA1700,EATX,64,2,Black
Asus PRIME H310-PLUS,,LGA1151,ATX,32,2,Black
Gigabyte Z690 UD DDR4,268.79,LGA1700,ATX,128,4,Black
ASRock H97M Pro4,,LGA1150,Micro ATX,32,4,Black / Blue
MSI MAG X570S TORPEDO MAX,,AM4,ATX,128,4,Blue / Black
Asus PRIME B560M-A AC,,LGA1200,Micro ATX,128,4,Black / Silver
Asus CROSSHAIR VI HERO,,AM4,ATX,128,4,Black
Supermicro MBD-X10SRL-F-O,511.84,LGA2011-3 Narrow,ATX,1024,8,Black / Green
MSI MPG Z590 GAMING CARBON WIFI,,LGA1200,ATX,128,4,Black
ASRock B250M Pro4,,LGA1151,Micro ATX,64,4,Black / White
Gigabyte B460M DS3H V2,,LGA1200,Micro ATX,128,4,Brown / Black
Biostar A520MH,,AM4,Micro ATX,64,2,Black / Silver
Gigabyte B560M DS3H,,LGA1200,Micro ATX,128,4,Black
ASRock X399M Taichi,,sTR4,Micro ATX,64,4,Black
MSI MEG X570 ACE,,AM4,ATX,128,4,Black / Silver
Gigabyte B450 Gaming X,,AM4,ATX,64,4,Black / Red
Gigabyte GA-Z170X-Gaming 7,,LGA1151,ATX,64,4,Black / Red
Gigabyte B760M GAMING DDR4,,LGA1700,Micro ATX,64,2,Black / Red
ASRock B660 Pro RS,,LGA1700,ATX,128,4,Gray / Black
Asus TUF Z390-PRO GAMING,,LGA1151,ATX,128,4,Black / Gold
Asus B85M-E/CSM,,LGA1150,Micro ATX,32,4,Black / Gold
ASRock A320M,,AM4,Micro ATX,32,2,Black / Silver
Asus Z590 WIFI GUNDAM EDITION,325.99,LGA1200,ATX,128,4,Black / White
Asus TUF GAMING H670-PRO WIFI D4,267.14,LGA1700,ATX,128,4,Gray / Black
Asus TUF GAMING B760M-PLUS D4,,LGA1700,Micro ATX,128,4,Black / Orange
MSI MEG Z690 UNIFY-X,,LGA1700,ATX,96,2,Black / Silver
Asus TUF GAMING B560-PLUS WIFI,,LGA1200,ATX,128,4,Black
Asus TUF B360M-PLUS GAMING,,LGA1151,Micro ATX,64,4,Silver / Orange
Gigabyte B365 HD3,,LGA1151,ATX,64,4,Black / Silver
MSI H410M PRO,,LGA1200,Micro ATX,64,2,Black / Silver
Asus STRIX X370-F GAMING,,AM4,ATX,64,4,Black
Gigabyte Z590 AORUS ULTRA,389,LGA1200,ATX,128,4,Black
Gigabyte B760 DS3H AX,,LGA1700,ATX,192,4,Gray / Black
MSI Z270 SLI PLUS,406.49,LGA1151,ATX,64,4,Black / Silver
NZXT N7 Z590,,LGA1200,ATX,128,4,Black
Gigabyte GA-AX370-Gaming K7,,AM4,ATX,64,4,Black
MSI B250M PRO-VD,,LGA1151,Micro ATX,32,2,Brown / Black
Supermicro C9Z390-PGW,788.99,LGA1151,ATX,128,4,Black
Asus ROG STRIX B560-A GAMING WIFI,349,LGA1200,ATX,128,4,Black / Silver
Asus M5A78L-M PLUS/USB3,,AM3+,Micro ATX,32,4,Black / Blue
Asus TUF GAMING B650M-E,,AM5,Micro ATX,128,4,Black
MSI MAG B660M BAZOOKA DDR4,229.63,LGA1700,Micro ATX,128,4,Green / Black
Asus PRIME H410M-E,,LGA1200,Micro ATX,64,2,Black
Asus Z170I PRO GAMING,,LGA1151,Mini ITX,32,2,Black / Red
Asus ROG STRIX X470-I GAMING,,AM4,Mini ITX,32,2,Black
Gigabyte X570 UD,275,AM4,ATX,128,4,Black / Silver
MSI MAG B460M MORTAR WIFI,,LGA1200,Micro ATX,128,4,Silver / Black
MSI Z87-G45 Gaming,,LGA1150,ATX,32,4,Brown / Black
Asus PRIME B650M-A II-CSM,173.99,AM5,Micro ATX,192,4,Silver / Black
Gigabyte B550 AORUS ELITE AX,210.69,AM4,ATX,128,4,Black
Asus PRIME Z370-A II,,LGA1151,ATX,64,4,Black / Silver
Gigabyte B760M D3H DDR4,,LGA1700,Micro ATX,128,4,Black
Gigabyte X570S UD,,AM4,ATX,128,4,Black / Gray
Asus PRIME H410M-K,180,LGA1200,Micro ATX,64,2,Black
MSI X370 XPOWER GAMING TITANIUM,,AM4,ATX,64,4,Silver
ASRock H370M-ITX/ac,,LGA1151,Mini ITX,32,2,Black / Silver
Gigabyte X570 AORUS XTREME,,AM4,EATX,128,4,Black / Silver
Asus Prime TRX40-Pro,,sTRX4,ATX,256,8,Black / White
MSI A320M PRO-VH PLUS,,AM4,Micro ATX,32,2,Brown / Black
Gigabyte Z370 AORUS Gaming 7 (rev. 1.0),,LGA1151,ATX,64,4,Black / Silver
MSI PRO B550-P GEN3,,AM4,ATX,128,4,Brown / Black
Asus ROG Strix Z370-I Gaming,,LGA1151,Mini ITX,32,2,Black / Silver
Gigabyte GA-H110M-S2H,,LGA1151,Micro ATX,32,2,Black
Gigabyte H310M H,,LGA1151,Micro ATX,32,2,Silver / Brown
Asus ROG STRIX Z390-H GAMING,339.99,LGA1151,ATX,128,4,Black / Red
MSI MEG Z390 GODLIKE,599.99,LGA1151,EATX,128,4,Black
Colorful CVN X570M GAMING FROZEN V14,,AM4,Micro ATX,128,4,White
MSI B450M MORTAR,,AM4,Micro ATX,64,4,Black
MSI B250M GAMING PRO,,LGA1151,Micro ATX,32,2,Black / Red
ASRock H670 PG Riptide,149.99,LGA1700,ATX,128,4,Black
MSI MPG Z590 GAMING EDGE WIFI,,LGA1200,ATX,128,4,Black
Gigabyte GA-AB350M-DS3H,,AM4,Micro ATX,64,4,Black
Asus PRIME B650M-A WIFI,,AM5,Micro ATX,128,4,Silver / Black
Gigabyte B450M H,,AM4,Micro ATX,32,2,Black
Asus ROG STRIX Z490-F GAMING,,LGA1200,ATX,128,4,Black
Asus TUF GAMING B550M-ZAKU (WI-FI),347.46,AM4,Micro ATX,128,4,Black / Red
Gigabyte B760M AORUS ELITE AX DDR4,,LGA1700,Micro ATX,128,4,Black / Silver
Gigabyte Z590I AORUS ULTRA,366.5,LGA1200,Mini ITX,64,2,Black
MSI X99A SLI PLUS,,LGA2011-3,ATX,128,8,Black
Gigabyte B660M GAMING X AX DDR4,,LGA1700,Micro ATX,128,4,Black
ASRock X299 Extreme4,199.99,LGA2066,ATX,128,8,
MSI MPG B550I GAMING EDGE MAX WIFI,,AM4,Mini ITX,64,2,Black
Asus H110M-A/M.2,,LGA1151,Micro ATX,32,2,Black / Gold
Gigabyte B660 DS3H DDR4,203.34,LGA1700,ATX,128,4,Black
Biostar B660MX-E,152,LGA1700,Micro ATX,64,2,Gray / Black
ASRock B450M Steel Legend Pink,,AM4,Micro ATX,128,4,Black / Pink
Gigabyte B550M AORUS PRO AX,,AM4,Micro ATX,128,4,Black / Silver
Asus PRIME H610M-K,,LGA1700,Micro ATX,96,2,Black
Asus PRIME H610M-D D4-CSM,,LGA1700,Micro ATX,64,2,Silver / Black
MSI MEG X570S ACE MAX,,AM4,ATX,128,4,Black
ASRock X570M Pro4,,AM4,Micro ATX,128,4,Black / Silver
Gigabyte B650M AORUS ELITE,,AM5,Micro ATX,192,4,Black
Asus ProArt B760-CREATOR,,LGA1700,ATX,192,4,Black / Copper
MSI B450I GAMING PLUS MAX WIFI,,AM4,Mini ITX,64,2,Black
MSI B550M PRO-VDH,,AM4,Micro ATX,128,4,Black
Gigabyte GA-AX370M-DS3H,,AM4,Micro ATX,64,4,Black
ASRock Z690 Taichi,329.99,LGA1700,ATX,192,4,Black / Copper
Gigabyte H610M H,,LGA1700,Micro ATX,64,2,Brown / Silver
Asus ROG Crosshair VII Hero (Wi-Fi),,AM4,ATX,64,4,Black
Asus ProArt X570-CREATOR WIFI,,AM4,ATX,128,4,Black
ASRock B365 Pro4,,LGA1151,ATX,64,4,Black / Silver
Asus P8H61-M LE/CSM R2.0,,LGA1155,Micro ATX,16,2,Black / Blue
Asus PRIME B460-PLUS,,LGA1200,ATX,128,4,Silver / Black
Asus Pro B760M-CT-CSM,132.02,LGA1700,Micro ATX,192,4,Green / Black
ASRock B560M Pro4,,LGA1200,Micro ATX,128,4,Silver / Black
Gigabyte GA-H81M-S2PH,,LGA1150,Micro ATX,16,2,Black
NZXT N7 Z490,,LGA1200,ATX,128,4,Black
MSI B550-A PRO (CEC),,AM4,ATX,128,4,Black
Gigabyte GA-B75M-D3H,,LGA1155,Micro ATX,32,4,Blue / White
Gigabyte GA-H97M-D3H,,LGA1150,Micro ATX,32,4,Black / Gold
MSI X470 GAMING PRO CARBON,,AM4,ATX,64,4,Black / Silver
Asus PRIME B760M-A AX D4,195.98,LGA1700,Micro ATX,128,4,Silver / Black
Asus ROG STRIX Z590-I GAMING WIFI,525,LGA1200,Mini ITX,64,2,Black
Gigabyte Z590 AORUS PRO AX,296.89,LGA1200,ATX,128,4,Black
Asus PRIME H610M-A D4,,LGA1700,Micro ATX,64,2,Silver / Black
Asus Z87-Pro,,LGA1150,ATX,32,4,Black / Gold
ASRock Z370 Extreme4,,LGA1151,ATX,64,4,Black / Silver
Gigabyte GA-AB350M-Gaming 3,,AM4,Micro ATX,64,4,Black / Red
Asus PRIME Z790-V WIFI-CSM,,LGA1700,ATX,192,4,Black / Silver
Gigabyte GA-B150N-GSM,,LGA1151,Mini ITX,32,2,Black
Asus PRIME A320M-A,110.91,AM4,Micro ATX,64,4,Black / Gray
Asus M5A99FX PRO R2.0,,AM3+,ATX,32,4,Black / Blue
Gigabyte B760M AORUS PRO AX DDR4,,LGA1700,Micro ATX,128,4,Black / Silver
Asus WS X299 SAGE/10G,599,LGA2066,SSI CEB,128,8,Black / Silver
Asus ROG STRIX Z490-I GAMING,,LGA1200,Mini ITX,64,2,Black
Asus H110M-D,,LGA1151,Micro ATX,32,2,Black / Silver
MSI MEG Z390 ACE,499.99,LGA1151,ATX,128,4,Black / Silver
MSI Z370 GAMING PRO CARBON,,LGA1151,ATX,64,4,Black
MSI MAG Z590 TORPEDO,238.98,LGA1200,ATX,128,4,Black / Blue
Asus PRIME X670E-PRO WIFI-CSM,,AM5,ATX,192,4,Silver / Black
ASRock B560M Steel Legend,,LGA1200,Micro ATX,128,4,Silver / Black
MSI X370 GAMING PLUS,,AM4,ATX,64,4,Black / Red
Gigabyte Z370 HD3 (rev. 1.0),,LGA1151,ATX,64,4,Black / Gray
Asus PRIME H670-PLUS D4,,LGA1700,ATX,128,4,Silver / Black
MSI Z170A PC MATE,,LGA1151,ATX,64,4,Black
MSI H110M Gaming,,LGA1151,Micro ATX,32,2,Black / Red
Gigabyte B460M DS3H,,LGA1200,Micro ATX,128,4,Black / Silver
Asus Sabertooth Z87,,LGA1150,ATX,32,4,Brown / Black
Gigabyte B560 HD3,,LGA1200,ATX,128,4,Black / Gray
ASRock B660M Steel Legend,,LGA1700,Micro ATX,128,4,Silver / Black
Biostar B450MHP,,AM4,Micro ATX,64,2,Black / Silver
ASRock Z590-C/ac,,LGA1200,ATX,128,4,Black
ASRock H470M-HVS,,LGA1200,Micro ATX,64,2,Black / Silver
Gigabyte GA-G41MT-S2PT,,LGA775,Micro ATX,8,2,Blue / White
Gigabyte B660 AORUS Master DDR4,312.89,LGA1700,ATX,128,4,Black
Asus Rampage IV Black Edition,1000,LGA2011,EATX,128,8,Black / Red
Asus P8Z77-V LX,,LGA1155,ATX,32,4,Black / Blue
ASRock X370 KILLER SLI/ac,,AM4,ATX,64,4,Black / White
MSI B450M PRO-M2,,AM4,Micro ATX,32,2,Brown / Black
Gigabyte Z490 AORUS ELITE AC,349.99,LGA1200,ATX,128,4,Black / Silver
Gigabyte B550M S2H,,AM4,Micro ATX,64,2,Black / Silver
Asus PRIME B650M-A II,,AM5,Micro ATX,192,4,Silver / Black
Asus Z170-P,,LGA1151,ATX,64,4,Black / Gold
Asus Rampage V Edition 10,,LGA2011-3,EATX,128,8,Black
ASRock B650M-C,,AM5,Micro ATX,192,4,Black
Asus PRIME B650M-A-CSM,169.99,AM5,Micro ATX,128,4,Silver / Black
Asus TUF GAMING H570-PRO WIFI,,LGA1200,ATX,128,4,Black / Silver
MSI H510I PRO WIFI,,LGA1200,Mini ITX,64,2,Black / Silver
Gigabyte GA-78LMT-USB3 R2,,AM3+,Micro ATX,32,4,Black
MSI MAG Z690M MORTAR WIFI,,LGA1700,Micro ATX,192,4,Silver / Black
Asus TUF GAMING B660M-E D4,224.93,LGA1700,Micro ATX,128,4,Black / Orange
Gigabyte Z370 AORUS Gaming 5 (rev. 1.0),,LGA1151,ATX,64,4,Black / Silver
MSI H310M PRO-M2 PLUS,,LGA1151,Micro ATX,32,2,Black
Gigabyte Z490M GAMING X,246,LGA1200,Micro ATX,128,4,Black / Silver
MSI MPG Z390I GAMING EDGE AC,299.99,LGA1151,Mini ITX,64,2,Black / Silver
Asus Z97I-PLUS,,LGA1150,Mini ITX,16,2,Black / Gold
Gigabyte GA-AB350-Gaming,,AM4,ATX,64,4,Black / Red
ASRock C236M WS,235.98,LGA1151,Micro ATX,64,4,Green / Blue
MSI B450M PRO-VDH,,AM4,Micro ATX,64,4,Brown
MSI A320M PRO-VH,,AM4,Micro ATX,64,2,Brown / Black
Asus PRIME B760M-A WIFI-CSM,,LGA1700,Micro ATX,128,4,Silver / Black
Asus ROG STRIX B450-E GAMING,,AM4,ATX,64,4,Black
Asus H170-PRO,,LGA1151,ATX,64,4,Black / Gold
Asus TUF B450-Pro Gaming,,AM4,ATX,64,4,Black
MSI PRO B650-VC WIFI,,AM5,ATX,192,4,Black / Silver
Asus H81M-C/CSM,,LGA1150,Micro ATX,16,2,Black / Gold
Asus H97M-E,,LGA1150,Micro ATX,32,4,Black / Gray
Supermicro X10DRL-i,,2 x LGA2011,ATX,512,8,Green
