name,price,tracking_method,connection_type,max_dpi,hand_orientation,color
Razer Lancehead Tournament Edition,59.99,Optical,Wired,16000,Both,Black / Green
3Dconnexion CadMouse Pro,,Optical,Wireless,7200,Left,Black
Logitech G603,,Optical,Wireless,12000,Right,Black
Logitech G703 (Black),70.2,Optical,Wireless,12000,Right,Black
MSI CLUTCH,38.5,Optical,Wired,6400,Right,Black
SteelSeries Rival 5 Destiny Edition,95.9,Optical,Wired,18000,Right,White / Silver
V7 Full size USB Optical Mouse,14.98,Optical,Wired,1000,Both,Silver / Black
V7 M30P10-7N,9.97,Optical,Wired,1000,Both,Black
Endgame Gear XM1r,67.67,Optical,Wired,19000,Right,White / Gold
Zowie EC2-A,,Optical,Wired,3200,Right,Black
BenQ Zowie EC2-B,,Optical,Wired,3200,Right,Black
SteelSeries Sensei 310,98.4,Optical,Wired,12000,Both,Black
Logitech LIFT,64.95,Optical,"Wireless, Bluetooth Wireless",4000,Right,Black
Corsair SABRE PRO CHAMPION SERIES,54.99,Optical,Wired,18000,Right,Black
Logitech G500,179.99,Laser,Wired,5700,Right,Black / Silver
Logitech ERGO M575,44.99,Optical,Bluetooth Wireless,2000,Right,Black / Blue
Xtrfy M4 RGB,115.21,Optical,"Wired, Wireless",16000,Right,White
Kensington K72356US,7.99,Optical,Wired,,Both,Black
A4Tech Bloody V7,35.5,Optical,Wired,3200,Both,Black / Red
Razer Lancehead Tournament Edition Mercury,136.21,Optical,Wired,16000,Both,White / Gray
Razer Basilisk,79,Optical,Wired,16000,Right,Black / Green
Asus ROG Spatha,,Laser,Wireless,8200,Right,Black
Alienware AW558,,Optical,Wired,5000,Right,Black / Silver
Redragon M990,,Laser,Wired,24000,Right,Black
Lamzu Atlantis OG,,Optical,"Wired, Wireless",26000,Right,Black
Logitech G305 LIGHTSPEED,,Optical,Wireless,12000,Right,White / Black
Asus ProArt Mouse MD300,,Optical,"Wired, Wireless, Bluetooth Wireless",4200,Right,Black
Keychron M3,49,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black
ROCCAT Kain 100 Aimo RGB,79.98,Optical,Wired,8500,Right,Black
Asus ROG Strix Impact II,66.83,Optical,Wireless,16000,Right,Black
Adesso HC-3003US,7.95,Optical,Wired,1000,Both,Black
ROCCAT Kain 120 Aimo RGB,93.6,Optical,Wired,16000,Right,Black
Logitech M185,13.4,Laser,Wireless,,Both,Black
EVGA X15 MMO Gaming,,Optical,Wired,16000,Right,Black
Targus AMU81USZ,6.99,Optical,Wired,1000,,Black
Corsair M65 PRO RGB FPS (White),,Optical,Wired,12000,Right,White
Endgame Gear XM1r,,Optical,Wired,19000,Right,Black / Gold
Verbatim 99768 Commuter,10.95,Optical,Wireless,,Both,White
Anker AK-98ANWVM-BA,22.99,Optical,Wired,1000,Right,Black
ROCCAT KONE Pro,50.7,Optical,Wired,19000,Right,White
A4Tech Bloody AL90,59.99,Laser,Wired,,Right,Black
Corsair GLAIVE RGB PRO,,Optical,Wired,18000,Right,Black
Asus ROG Strix Impact,91.72,Optical,Wired,5000,Both,Black
Redragon Perdition,,Laser,Wired,16400,Right,Black / Red
Logitech MX MASTER 2S (White),,Laser,Wireless,4000,Right,White
Redragon M801P Sniper Pro,,Optical,Wired,16000,Right,Black
Logitech M535,12.99,Optical,Bluetooth Wireless,,Both,Blue
Keychron M1,,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,White
Cooler Master MM731,32.26,Optical,Wireless,19000,Right,White / Gray
Logitech Optical USB Mouse,10.98,Optical,Wired,800,Both,Black
Corsair GLAIVE RGB,,Optical,Wired,16000,Right,Black
Cooler Master MM711 Wilderness Limited Edition,28.95,Optical,Wired,16000,Right,Green
Xtrfy M4 RGB,65,Optical,Wired,16000,Right,Blue
Logitech MX Ergo,84.49,Optical,Wireless,440,Right,Black
