name,price,size,color,rpm,airflow,noise_level,pwm
NZXT F140Q,26.98,140,Black,"500,1200","42.92,101","18,23",true
be quiet! Silent Wings 4,19.89,120,Black,2500,76.7,"32.1,31.2",true
be quiet! Pure Wings 3,9.9,120,Black,2100,59.6,30.9,true
ARCTIC P14 PWM PST A-RGB 3-Pack,,140,Black,,"0,68",,true
Cooler Master SickleFlow,9.99,120,Black,"650,1800",62,"8,27",true
Phanteks D30-120 Reversed,32.98,120,White,"250,2000",61.5,31.8,true
Cooler Master MasterFan MF Halo 3-Pack,52.98,120,White,"650,1800",47.2,"6,30",true
Noctua P14s redux-1200 PWM,16.95,140,Black / Gray,"350,1200",64.92,19.6,true
Noctua A8 PWM,16.95,80,Brown,"450,2200","25.84,32.66","13.8,17.7",true
Lian Li ST120 3-Pack,60.09,120,White,"800,1900",69.17,32,true
Corsair LL120,34.99,120,White,2200,63,36,true
ARCTIC P12,9.49,120,Black / Transparent,"200,1800",56.3,22.5,true
Corsair iCUE AR120 Digital RGB,18.98,120,White,"400,1850","10.7,59","10,27.3",true
Lian Li UNI FAN TL 120 3-Pack,109.99,120,White,"200,2600",90.1,33,false
Thermaltake CT120 ARGB Sync 2-Pack,34.99,120,Black,"500,2000",57.05,25.8,true
Thermalright TL-C12CW,7.39,120,White,1550,66.17,25.6,true
Lian Li UNI FAN TL LCD 120 3-Pack,,120,White,,90.1,33,true
Thermaltake TOUGHFAN 2-Pack,34.99,140,Black,"500,2000",119.1,"25.2,33.2",true
Noctua A9x14 HS-PWM chromax.Black.swap,21.95,92,Black / Multicolor,"600,2500",33.84,23.6,true
be quiet! Light Wings PWM high-speed,26.9,120,Black,2500,52.3,31,true
ARCTIC P12 PST CO,11.99,120,Black,"200,1800",56.3,,true
Corsair iCUE QL120,34.99,120,Black,"525,1500",41.8,26,true
Lian Li ST120 3-Pack,49.9,120,Black,"800,1900",69.17,32,true
Lian Li UNI FAN P28,19.89,120,Black,"200,2600","44.94,92","20.4,32.1",true
Cooler Master MasterFan MF Halo,24.33,140,Black / White,"650,1500",55,"6,30",true
Lian Li UNI FAN TL 120 Reverse Blade 3-Pack,109.99,120,White,"200,2300",83.4,34,false
Noctua R8 redux-1800 PWM,12.95,80,Black / Gray,"325,1800",31.37,17.1,true
ARCTIC P12 Silent,7.98,120,Black,1050,24.1,,false
Noctua F12 industrialPPC-2000 PWM,27.95,120,Brown / Black,"450,2000",71.69,29.7,true
Thermalright TL-C12B-S V3,10.9,120,Black,1500,66.17,25.6,true
Thermalright TL-S12,6.79,120,Black,1500,47.6,23.2,true
ARCTIC P12 PWM PST A-RGB 0dB 3-Pack,,120,White / Gray,,48.8,,true
ARCTIC P14,10.99,140,Black,1700,72.8,22.5,false
ID-COOLING ZF,16.98,120,Pink / White,"900,2000",,"16.3,33.5",true
NZXT F140Q,16.98,140,White,"500,1200","42.92,101","18,23",true
be quiet! Pure Wings 3,11.9,140,Black,1800,72.2,30.5,true
Lian Li UNI FAN AL140 V2,23.99,140,White,"250,1600",81.3,26.8,true
Corsair iCUE AF120 RGB SLIM,29.99,120,White,"600,2000","13.4,56.3",27.5,true
Asus TUF GAMING TF120 ARGB White 3in1 3-Pack,42.99,120,White,"250,1900",76,29,true
Montech AX120,12.9,120,White,"800,1600",59,27,true
Lian Li Uni Fan SL 2-Pack,86.99,140,White,"500,1500",70.5,30,true
NZXT AER RGB 2,56.99,140,Black,"500,1500","30.39,91.19","22,33",true
NZXT F140 RGB,26.99,140,Black,"500,1800","24.85,89.48","20,32.5",true
NZXT F140 RGB,26.99,140,White,"500,1800","24.85,89.48","20,32.5",true
Xigmatek eXTREME SILENT,4.49,80,Black,2200,36,24,false
Cooler Master SickleFlow 120 ARGB,20.99,120,White,"650,1800",62,"8,27",true
be quiet! Light Wings PWM 3-Pack,79.9,120,Black,1700,41.51,20.6,true
Lian Li UNI FAN TL LCD 120 Reverse Blade 3-Pack,,120,Black,,83.4,34,true
Corsair LL140 2-Pack,85.99,140,Black,"600,1300",51.5,25,true
Phanteks M25-120 PWM 3-Pack,27.78,120,Black,"500,2000",84.26,35.7,true
Thermalright TL-S12W,6.99,120,White,1500,47.6,23.2,true
Lian Li UNI FAN AL120 V2,,120,Black,"250,2000",77.3,28.7,true
Phanteks M25-120 PWM D-RGB 3-Pack,52.56,120,Black,"500,2000",84.26,35.7,true
Corsair iCUE SP140 RGB ELITE,29.99,140,Black / White,"450,1200",,,true
Lian Li Uni Fan SL 2-Pack,113,140,Black,"500,1500",70.5,30,true
