name,price,style,switches,backlit,tenkeyless,connection_type,color
Corsair K68 RGB,169,Gaming,Cherry MX Red,RGB,false,Wired,Black
Asus ROG Azoth,229.99,Mini,ROG NX Brown,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Corsair K70 MAX RGB US,229.99,Gaming,Corsair MGX Steel Grey,RGB,false,Wired,Black
Thermaltake POSEIDON Z,79.98,Gaming,Kailh Blue,Blue,false,Wired,Black
Razer BlackWidow Elite,,Gaming,Razer Green,RGB,false,Wired,Black
MSI VIGOR GK50 ELITE LL,58.38,Gaming,Kailh Blue,RGB,false,Wired,Silver / Black
Cooler Master Devastator 3 (2022),,Gaming,,RGB,false,Wired,Black
Corsair K95 RGB PLATINUM,270,Gaming,Cherry MX Brown,RGB,false,Wired,Black
Razer BlackWidow Elite,279.95,Gaming,Razer Orange,RGB,false,Wired,Black
Qisan Magicforce,39.97,Mini,Outemu Brown,,true,Wired,White
NZXT Function,120.28,Gaming,Gateron Red,RGB,false,Wired,White / Black
Asus ROG Strix Flare PNK LTD,274,Gaming,Cherry MX Red,RGB,false,Wired,Pink / White
SteelSeries Apex 7,139.99,Gaming,SteelSeries QX2 Blue,RGB,false,Wired,Black
Logitech G512 CARBON,99.99,Gaming,GX Red,RGB,false,Wired,Black
EVGA Z20,57,Gaming,LK Light Strike Clicky,RGB,false,Wired,Black
NZXT Function MiniTKL,99.99,Gaming,Gateron Red,RGB,true,Wired,Black
Glorious GMMK,,Gaming,Gateron Brown,RGB,false,Wired,Black
Patriot Viper V770,49.99,Gaming,Kailh Red,RGB,false,Wired,Black
Asus ROG Strix Scope,,Gaming,Cherry MX Blue,RGB,false,Wired,Black
Das Keyboard Model S Professional,129,Standard,Cherry MX Brown,,false,Wired,Black
Asus TUF Gaming K3,80,Gaming,Kailh Red,RGB,false,Wired,Black
Asus ROG Strix Scope RX EVA Edition,,Gaming,ROG RX Blue Optical,RGB,false,Wired,Purple
Glorious GMMK,56.37,Gaming,Gateron Brown,RGB,true,Wired,
