name,price,rpm,noise_level,color,size
Lian Li GALAHAD AIO 360 RGB UNI FAN SL120 EDITION,,"800,1900",32,White / Silver,360
Thermalright AXP120-X67,29.9,1800,26.1,White,
Thermalright Assassin King 120 MINI V2,20.9,1500,25.6,Black / Silver,
be quiet! Pure Loop 2,119.9,,"17.2,36.8",Black,360
Cooler Master A71C,24.99,"650,1800",24.9,Black,
Asus ROG STRIX LC II ARGB,126.91,"800,2500",37.6,White / Black,240
Deepcool LE520,,"500,2250",32.9,White,240
Thermalright SI-100,26.9,2000,27.7,Blue,
Scythe FUMA 2,,"300,1200","2.7,24.9",Black / Silver,
NZXT Kraken Z53 RGB,,"500,1500","22,33",White / Black,240
Cooler Master Hyper H410R RGB,,"600,2000","6,29",,
Deepcool AS500 PLUS WH,44.99,"500,1200",31.5,White / Silver,
NZXT Kraken X63 RGB,184.99,"500,1500","22,33",White / Black,280
Thermalright SI-100 WHITE ARGB,26.9,2000,27.7,White,
ARCTIC Alpine AM4,11.99,"100,2000",,Black / White,
ID-COOLING AURAFLOW X,59.99,"700,1800","18,35.2",Black,240
Corsair H115i RGB PLATINUM,,2000,37,Black / Silver,280
